,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
436,0.0,Wed Jun 27 15:33:04 +0000 2018,0.0,1.0,0.0,RT @randyNYT: Notice the accent marks on Mexico's World Cup jerseys? A New York Times editor @apchavira did that: https://t.co/7169yQMwqw,37,@nytimes
437,-0.1406,Wed Jun 27 15:23:06 +0000 2018,0.126,0.771,0.103,"Germany probably advances in the World Cup with a win, but might not, and probably doesn’t advance with a loss, but… https://t.co/jAi6tGii3T",38,@nytimes
438,0.3182,Wed Jun 27 15:13:03 +0000 2018,0.0,0.892,0.108,"RT @HannaIngber: Our politics editor, @patrickhealynyt, is inviting readers to ask him questions about how we're covering the midterms. Ple…",39,@nytimes
439,-0.4019,Wed Jun 27 15:03:06 +0000 2018,0.137,0.863,0.0,Russia demonstrated that one response to fielding an unwelcome question is to ask a different question. And another… https://t.co/uaabtuxMS1,40,@nytimes
440,-0.2204,Wed Jun 27 14:58:26 +0000 2018,0.075,0.925,0.0,"RT @mattfleg: Was just going back through some notes from our chat w/ @Ocasio2018 many weeks ago. This stood out: ""There’s this weird mascu…",41,@nytimes
441,-0.714,Wed Jun 27 14:43:02 +0000 2018,0.218,0.727,0.055,"""The violent act of a fan is sad,"" she wrote, but what is even worse, she added, is the reaction of those who do no… https://t.co/FYiFx0HKyj",42,@nytimes
442,0.4215,Wed Jun 27 14:33:06 +0000 2018,0.0,0.865,0.135,Mexico and Sweden are hoping to clinch advancement to the second round of World Cup. Chicharito (Javier Hernandez)… https://t.co/gad8LqyAW5,43,@nytimes
443,-0.4404,Wed Jun 27 14:23:04 +0000 2018,0.149,0.791,0.06,"RT @mwolgelenter: “The enemies of a meat-based diet want to consign humanity to grains.” @alissanyt, on French butchers seeking protection…",44,@nytimes
444,0.5574,Wed Jun 27 14:13:14 +0000 2018,0.0,0.841,0.159,"Breaking News: The Supreme Court dealt a major blow to labor unions, ruling 5-4 that government workers can’t be re… https://t.co/Iyqs5AYU82",45,@nytimes
445,0.0,Wed Jun 27 14:00:05 +0000 2018,0.0,1.0,0.0,"RT @fstockman: A primer for what happened last night in NY. ‘Yes, I’m Running as a #Socialist.’ Why Candidates Are Embracing the Label in 2…",46,@nytimes
446,0.4201,Wed Jun 27 13:45:07 +0000 2018,0.0,0.896,0.104,"RT @NYTSports: The Mexican player known as ""Chucky"" has been a nightmare for opponents at the World Cup. And there may be more like him on…",47,@nytimes
447,0.0,Wed Jun 27 13:31:02 +0000 2018,0.0,1.0,0.0,The murals started appearing quietly in Paris last week. Now they're confirmed as the work of Banksy — and the race… https://t.co/eZoGJjSDeq,48,@nytimes
